lang,method,n,reps,seconds_per_multiply,gflops
cpp,1,100,64,0.0009627819219,2.066927053
cpp,2,100,64,0.0007973407344,2.495796231
cpp,3(nb=128),100,64,0.0002124861094,9.365318071
cpp,4(blas),100,64,0.0003384858438,5.879123268
cpp,1,200,8,0.00947142575,1.685068375
cpp,2,200,8,0.008039721875,1.985143298
cpp,3(nb=128),200,8,0.001927918,8.278360387
cpp,4(blas),200,8,0.000627149,25.44849788
cpp,1,300,2,0.0328957745,1.638812304
cpp,2,300,2,0.030253781,1.781926034
cpp,3(nb=128),300,2,0.007231789,7.454586963
cpp,4(blas),300,2,0.001532162,35.18557437
cpp,1,400,1,0.088245555,1.448684866
cpp,2,400,1,0.075224053,1.699456423
cpp,3(nb=128),400,1,0.016865138,7.580133646
cpp,4(blas),400,1,0.004360142,29.320146
cpp,1,500,1,0.170158581,1.467748488
cpp,2,500,1,0.15156065,1.647855166
cpp,3(nb=128),500,1,0.034063709,7.331849858
cpp,4(blas),500,1,0.007118544,35.08442176
cpp,1,600,1,0.329357683,1.310550876
cpp,2,600,1,0.267058174,1.616277059
cpp,3(nb=128),600,1,0.057816003,7.465753037
cpp,4(blas),600,1,0.012350015,34.95056484
cpp,1,700,1,0.554731848,1.235750214
cpp,2,700,1,0.436181173,1.571617581
cpp,3(nb=128),700,1,0.097655446,7.019680193
cpp,4(blas),700,1,0.018930886,36.21119476
cpp,1,800,1,0.938888149,1.08997009
cpp,2,800,1,0.681111749,1.502484727
cpp,3(nb=128),800,1,0.173592252,5.895193986
cpp,4(blas),800,1,0.034845127,29.36881246
cpp,1,900,1,1.604768236,0.9080376638
cpp,2,900,1,0.943563571,1.544347456
cpp,3(nb=128),900,1,0.214359023,6.79789439
cpp,4(blas),900,1,0.034950242,41.69327354
cpp,1,1000,1,2.68897638,0.7434055631
cpp,2,1000,1,1.308385371,1.527837321
cpp,3(nb=128),1000,1,0.268378752,7.448428704
cpp,4(blas),1000,1,0.047985842,41.65812074
cpp,1,1100,1,2.63395566,1.010187848
cpp,2,1100,1,1.734935315,1.53365372
cpp,3(nb=128),1100,1,0.407999072,6.521558951
cpp,4(blas),1100,1,0.070924086,37.51602805
cpp,1,1200,1,3.739083721,0.923905496
cpp,2,1200,1,2.338613629,1.477182873
cpp,3(nb=128),1200,1,0.696562114,4.959442856
cpp,4(blas),1200,1,0.123394738,27.99600741
cpp,1,1300,1,8.665432677,0.5068771709
cpp,2,1300,1,3.637412696,1.207536886
cpp,3(nb=128),1300,1,0.821715383,5.345293627
cpp,4(blas),1300,1,0.130496222,33.65852231
cpp,1,1400,1,7.821966349,0.7013632832
cpp,2,1400,1,4.804716832,1.141802981
cpp,3(nb=128),1400,1,1.276242422,4.298587718
cpp,4(blas),1400,1,0.188647466,29.0809101
cpp,1,1500,1,18.45107753,0.3657103488
cpp,2,1500,1,6.247512687,1.080069835
cpp,3(nb=128),1500,1,1.319385235,5.114313713
cpp,4(blas),1500,1,0.198954839,33.91598834
cpp,1,1600,1,32.57803747,0.2513791694
cpp,2,1600,1,6.726520345,1.217485353
cpp,3(nb=128),1600,1,1.780155414,4.600407322
cpp,4(blas),1600,1,0.287334092,28.50145607
cpp,1,1700,1,44.45239807,0.2209804291
cpp,2,1700,1,8.851497048,1.109768206
cpp,3(nb=128),1700,1,1.94660856,5.046268778
cpp,4(blas),1700,1,0.282657178,34.75273499
cpp,1,1800,1,54.66273868,0.2133219133
cpp,2,1800,1,9.445116506,1.234580854
cpp,3(nb=128),1800,1,2.026332218,5.754614123
cpp,4(blas),1800,1,0.332508885,35.06901778
cpp,1,1900,1,73.494407,0.1866045399
cpp,2,1900,1,11.19239506,1.225331122
cpp,3(nb=128),1900,1,2.41380161,5.681655834
cpp,4(blas),1900,1,0.391773827,35.00588619
cpp,1,2000,1,81.22344155,0.19693822
cpp,2,2000,1,13.54497526,1.180954538
cpp,3(nb=128),2000,1,3.356479781,4.765707242
cpp,4(blas),2000,1,0.500570082,31.95556541
