lang,method,n,reps,seconds_per_multiply,gflops
python,5,20,3840,0.0039435443,0.003956
python,5,40,480,0.0318573958,0.003968
python,5,60,142,0.1041402596,0.004114
python,5,80,60,0.2462043949,0.004133
python,5,100,31,0.4804822415,0.004142
python,5,120,18,0.8215887534,0.004189
python,5,140,11,1.3178894391,0.004149
python,5,160,8,1.9712833630,0.004143
python,5,180,5,2.7864882742,0.004174
python,5,200,4,3.8073398917,0.004192
python,5,220,3,5.1208943520,0.004149
python,5,240,2,6.6737974060,0.004134
python,5,260,2,8.7042251105,0.004031
python,5,280,1,10.7367576340,0.004082
python,5,300,1,12.9608924030,0.004159
python,6(numpy),100,64,0.0001136856,17.504419
python,6(numpy),200,8,0.0006461739,24.699234
python,6(numpy),300,2,0.0018517060,29.113693
python,6(numpy),400,1,0.0075211310,16.997444
python,6(numpy),500,1,0.0102237430,24.428431
python,6(numpy),600,1,0.0281193500,15.350284
python,6(numpy),700,1,0.0301270230,22.753991
python,6(numpy),800,1,0.0388061770,26.371059
python,6(numpy),900,1,0.0529536750,27.518203
python,6(numpy),1000,1,0.0742390880,26.926516
python,6(numpy),1100,1,0.0919957910,28.922954
python,6(numpy),1200,1,0.1217833520,28.366439
python,6(numpy),1300,1,0.1399748770,31.379274
python,6(numpy),1400,1,0.1739816900,31.532284
python,6(numpy),1500,1,0.2208541490,30.552969
python,6(numpy),1600,1,0.2582732730,31.708430
python,6(numpy),1700,1,0.3027797550,32.443087
python,6(numpy),1800,1,0.3821840470,30.510850
python,6(numpy),1900,1,0.4164309860,32.933164
python,6(numpy),2000,1,0.4979395660,32.124380
